S1A1(10);S2A1(10);S1L2(10);S2L2(10)
-54 dBm;-54 dBm;-54 dBm;-53 dBm
-53 dBm;-63 dBm;-62 dBm;-80 dBm
-54 dBm;-54 dBm;-63 dBm;-53 dBm
-54 dBm;-54 dBm;-62 dBm;-62 dBm
-53 dBm;-54 dBm;-53 dBm;-54 dBm
-70 dBm;-53 dBm;-62 dBm;-53 dBm
-54 dBm;-54 dBm;-53 dBm;-53 dBm
-62 dBm;-71 dBm;-62 dBm;-53 dBm
-53 dBm;-54 dBm;-54 dBm;-80 dBm
-70 dBm;-62 dBm;-81 dBm;-79 dBm
-54 dBm;-54 dBm;-81 dBm;-79 dBm
-62 dBm;-71 dBm;-81 dBm;-79 dBm
-55 dBm;-54 dBm;-81 dBm;-79 dBm
