No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
289;13.321.561.844;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);162;192.168.1.102;;0;
290;13.322.190.202;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);162;;192.168.1.106;;0
291;13.322.216.998;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);162;192.168.1.102;;0;
292;13.322.248.677;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);162;;192.168.1.106;;0
293;13.322.379.034;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);162;192.168.1.102;;0;
294;13.322.876.727;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);162;;192.168.1.106;;0
295;13.322.901.950;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);162;192.168.1.102;;0;
296;13.323.577.025;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (reply in 298);162;;192.168.1.106;;0
297;13.323.602.408;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (reply in 299);162;192.168.1.102;;0;
298;13.325.538.729;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=122/31232, ttl=64 (request in 296);172;;192.168.1.106;;-70 dBm
299;13.326.543.944;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=177/45312, ttl=64 (request in 297);172;192.168.1.102;;-70 dBm;
300;13.328.287.583;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=122/31232, ttl=64;161;;192.168.1.106;;-52 dBm
301;13.328.324.991;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=177/45312, ttl=64;161;192.168.1.102;;-52 dBm;
312;14.163.937.989;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=123/31488, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
313;14.242.815.211;-65 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=178/45568, ttl=64 (no response found!);172;192.168.1.102;;-65 dBm;
314;14.243.429.224;-65 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=178/45568, ttl=64 (no response found!);172;192.168.1.102;;-65 dBm;
315;14.249.186.335;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=123/31488, ttl=64 (reply in 317);162;;192.168.1.106;;0
316;14.249.212.563;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=178/45568, ttl=64 (reply in 318);172;192.168.1.102;;-52 dBm;
317;14.251.448.202;;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=123/31488, ttl=64 (request in 315);162;;192.168.1.106;;0
318;14.251.468.688;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=178/45568, ttl=64 (request in 316);172;192.168.1.102;;-69 dBm;
319;14.254.410.388;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=123/31488, ttl=64;161;;192.168.1.106;;-53 dBm
320;14.254.450.744;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=178/45568, ttl=64;161;192.168.1.102;;-53 dBm;
